Ref_Code,Region,County
CNC,Border,Cavan
DLC,Border,Donegal
LMC,Border,Leitrim
MNC,Border,Monaghan
SOC,Border,Sligo
MOC,West,Mayo
RNC,West,Roscommon
GYC,West,Galway
CEC,Mid-West,Clare
TYC,Mid-West,Tipperary
LKC,Mid-West,Limerick
CWC,South-East,Carlow
KKC,South-East,Kilkenny
WXC,South-East,Wexford
WDC,South-East,Waterford
KYC,South-West,Kerry
CKC,South-West,Cork
DNC,Dublin,Dublin
KEC,Mid-East,Kildare
MHC,Mid-East,Meath
WKC,Mid-East,Wicklow
LHC,Mid-East,Louth
LSC,Midland,Laoighis
LDC,Midland,Longford
OYC,Midland,Offaly
WMC,Midland,Westmeath
